Id_Incidente,Fecha,Hora,Ciudad,Latitud,Longitud,Tipo_Incidencia,Tipo_Vehiculo,Proveedor,Distancia_km,Tiempo_Respuesta_min,Medio_Retorno,Costo_EUR,Resuelto,SLA_45min_Incumplido,Satisfaccion_1a5,Notas
50,2024-10-11,23:39,Barcelona,41.32763,2.17299,Neumático,SUV,Proveedor D,25.1,61.3,Grúa,72.53,Sí,Sí,4.2,
51,2024-12-12,12:50,Bilbao,43.32925,-2.85421,Neumático,Turismo,Proveedor C,9.2,39.1,Retorno Domicilio,32.34,No,No,5.0,
52,2025-06-15,09:21,Zaragoza,41.44297,-0.91994,Combustible,Turismo,Proveedor C,18.9,18.1,Retorno Domicilio,27.65,Sí,No,5.0,
53,2025-02-19,07:26,Oviedo,43.37634,-5.63791,Accidente,SUV,Proveedor B,10.3,42.7,Grúa,136.41,Sí,No,4.5,
54,2024-12-19,13:59,Málaga,36.68343,-4.34525,Neumático,Turismo,Proveedor D,30.0,37.6,Grúa,79.68,Sí,No,4.2,
55,2024-10-24,13:14,Valencia,39.34968,-0.39716,Neumático,Turismo,Proveedor A,7.9,13.7,N/A Reparado in-situ,2.48,Sí,No,5.0,
56,2025-08-29,12:51,Málaga,36.69979,-4.50992,Neumático,Furgoneta,Proveedor B,36.5,42.4,Grúa,86.0,No,No,4.5,
57,2024-11-01,13:48,Málaga,36.74555,-4.32808,Motor,Turismo,Proveedor B,31.5,37.1,Grúa,216.5,Sí,No,3.0,
58,2025-05-14,19:50,Sevilla,37.36015,-5.99007,Neumático,Turismo,Proveedor B,30.5,16.2,Grúa,73.13,Sí,No,4.8,
59,2025-06-14,23:06,Zaragoza,41.55103,-0.83206,Accidente,Turismo,Proveedor A,25.2,29.0,Grúa,215.42,Sí,No,3.5,
60,2025-06-17,19:31,Barcelona,41.34558,2.25252,Sistema eléctrico,Moto,Proveedor B,7.2,54.1,N/A Reparado in-situ,8.45,Sí,Sí,5.0,
61,2025-04-21,07:02,Valencia,39.44081,-0.38086,Neumático,Turismo,Proveedor B,30.5,16.0,Grúa,94.92,Sí,No,5.0,
62,2024-09-13,14:39,Sevilla,37.39875,-5.87953,Combustible,Turismo,Proveedor A,8.0,47.7,Grúa,46.81,Sí,Sí,4.7,
63,2024-10-11,09:40,Valencia,39.3896,-0.33548,Motor,SUV,Proveedor C,13.3,51.0,Grúa,142.56,Sí,Sí,3.9,
64,2025-02-19,22:25,Oviedo,43.42174,-5.72932,Neumático,SUV,Proveedor B,21.7,30.3,Taxi,22.9,Sí,No,5.0,
65,2025-07-06,07:54,Bilbao,43.2602,-2.79334,Accidente,Furgoneta,Proveedor C,24.1,35.1,Grúa,224.49,Sí,No,3.8,
66,2024-12-12,15:24,Zaragoza,41.54325,-0.9072,Motor,Moto,Proveedor C,7.1,54.0,Grúa,107.26,Sí,Sí,3.5,
67,2025-07-14,21:23,Sevilla,37.40069,-6.0151,Combustible,SUV,Proveedor C,26.4,42.8,Grúa,69.4,Sí,No,4.7,
68,2025-06-14,15:15,Málaga,36.79636,-4.46268,Caja de cambios,Turismo,Proveedor B,7.2,57.0,Grúa,126.1,Sí,Sí,3.3,
69,2025-05-30,19:30,Madrid,40.51521,-3.63692,Motor,SUV,Proveedor B,18.8,70.4,Grúa,178.34,Sí,Sí,2.7,
70,2025-02-07,21:44,Sevilla,37.46269,-5.95939,Neumático,Turismo,Proveedor A,18.8,44.5,Retorno Domicilio,28.27,Sí,No,5.0,
71,2025-04-26,15:29,Madrid,40.26211,-3.80039,Neumático,Turismo,Proveedor C,13.8,30.0,Taxi,15.54,Sí,No,4.8,
72,2025-08-09,09:11,Málaga,36.71353,-4.41705,Caja de cambios,SUV,Proveedor A,20.7,42.6,Grúa,169.09,No,No,3.6,
73,2024-11-10,18:45,Bilbao,43.19641,-2.89729,Motor,Turismo,Proveedor A,23.6,41.4,Grúa,185.5,Sí,No,2.8,
74,2025-02-06,08:37,Zaragoza,41.57632,-0.81111,Accidente,SUV,Proveedor A,0.0,42.8,Grúa,111.95,No,No,3.9,
75,2025-01-01,20:37,Barcelona,41.34824,2.25213,Motor,SUV,Proveedor B,12.8,51.4,Grúa,125.63,Sí,Sí,3.1,
76,2025-08-19,13:26,Sevilla,37.41452,-6.03486,Sistema eléctrico,SUV,Proveedor B,14.2,44.8,Taxi,25.07,Sí,No,4.3,
77,2025-03-06,12:04,Málaga,36.70324,-4.42113,Sistema eléctrico,Moto,Proveedor A,16.3,37.2,Retorno Domicilio,51.68,Sí,No,4.5,
78,2025-04-11,18:45,Sevilla,37.43367,-6.04081,Motor,SUV,Proveedor A,15.8,52.7,Grúa,153.78,Sí,Sí,3.2,
79,2025-06-04,09:19,Oviedo,43.31719,-5.81922,Combustible,Turismo,Proveedor A,14.4,30.0,Taxi,14.18,Sí,No,5.0,
80,2024-09-06,16:32,Bilbao,43.1813,-2.87833,Motor,Turismo,Proveedor C,12.4,74.8,Grúa,137.87,Sí,Sí,2.6,
81,2025-01-07,20:13,Oviedo,43.43727,-5.78059,Motor,Turismo,Proveedor D,22.3,46.8,Grúa,143.9,Sí,Sí,3.3,
82,2025-02-09,22:24,Valencia,39.51101,-0.39684,Combustible,SUV,Proveedor B,5.8,29.8,Taxi,14.25,Sí,No,4.6,
83,2024-10-15,20:24,Zaragoza,41.67252,-0.89237,Batería,SUV,Proveedor B,21.7,13.0,Taxi,18.22,Sí,No,5.0,
84,2025-03-27,13:20,Valencia,39.66206,-0.37811,Batería,Turismo,Proveedor B,2.2,37.7,N/A Reparado in-situ,4.55,Sí,No,5.0,
85,2025-01-25,06:09,Sevilla,37.46264,-5.9403,Combustible,Furgoneta,Proveedor A,28.2,30.1,Grúa,65.79,Sí,No,5.0,
86,2024-12-14,17:48,Zaragoza,41.75002,-0.84435,Caja de cambios,Turismo,Proveedor D,35.0,60.4,Grúa,206.43,No,Sí,2.5,
87,2024-12-19,12:10,Bilbao,43.21089,-2.97371,Sistema eléctrico,Turismo,Proveedor C,38.8,29.4,Grúa,165.0,Sí,No,4.1,
88,2025-06-27,19:35,Bilbao,43.23607,-2.90686,Combustible,Moto,Proveedor B,23.1,18.4,Taxi,21.9,Sí,No,4.8,
89,2025-03-31,10:03,Málaga,36.82666,-4.38626,Combustible,SUV,Proveedor B,27.5,55.0,Grúa,68.77,Sí,Sí,3.7,
90,2025-06-21,15:50,Sevilla,37.34508,-6.03823,Neumático,Furgoneta,Proveedor A,32.8,48.0,Grúa,90.94,Sí,Sí,3.6,
91,2025-07-30,07:54,Valencia,39.55366,-0.39992,Neumático,Turismo,Proveedor B,16.0,34.0,Retorno Domicilio,33.59,Sí,No,4.6,
92,2025-05-18,06:39,Oviedo,43.53708,-5.95019,Neumático,Turismo,Proveedor A,22.3,28.3,Taxi,40.61,Sí,No,4.8,
93,2024-08-31,16:36,Barcelona,41.28841,2.21894,Motor,Turismo,Proveedor C,13.3,77.1,Grúa,168.03,Sí,Sí,3.5,
94,2025-05-02,10:32,Madrid,40.50545,-3.78699,Neumático,Turismo,Proveedor A,27.2,37.2,Grúa,69.72,Sí,No,5.0,
95,2025-04-21,13:49,Barcelona,41.4021,2.18194,Batería,SUV,Proveedor A,26.1,19.3,Grúa,100.92,Sí,No,4.8,
96,2024-11-14,13:24,Valencia,39.599,-0.34002,Combustible,SUV,Proveedor A,7.1,44.1,Taxi,24.15,Sí,No,4.5,
97,2025-07-20,07:37,Valencia,39.3822,-0.4915,Motor,SUV,Proveedor C,25.2,65.8,Grúa,182.2,Sí,Sí,2.1,
98,2025-03-17,20:20,Bilbao,43.26322,-2.80537,Neumático,Turismo,Proveedor B,0.0,53.4,Grúa,35.12,Sí,Sí,4.4,
99,2024-11-23,13:47,Barcelona,41.4929,2.17555,Sistema eléctrico,Furgoneta,Proveedor C,1.7,42.8,Taxi,40.57,Sí,No,4.7,
100,2024-12-15,21:46,Bilbao,43.30479,-2.91845,Batería,Furgoneta,Proveedor C,5.8,26.3,Taxi,25.33,Sí,No,4.7,
101,2025-02-02,08:07,Bilbao,43.21489,-2.90942,Motor,SUV,Proveedor C,12.0,27.6,Grúa,138.19,Sí,No,4.5,
102,2025-06-24,09:19,Oviedo,43.40187,-5.95311,Neumático,Moto,Proveedor B,19.3,26.9,Retorno Domicilio,31.68,Sí,No,5.0,
103,2024-12-29,15:07,Zaragoza,41.62922,-0.9793,Combustible,SUV,Proveedor A,28.7,18.4,Grúa,76.85,Sí,No,5.0,
104,2024-11-07,20:48,Madrid,40.44195,-3.70397,Combustible,Moto,Proveedor A,30.2,46.3,Grúa,73.87,Sí,Sí,3.5,
105,2025-06-17,12:20,Barcelona,41.45216,2.0638,Accidente,Turismo,Proveedor B,28.4,45.3,Grúa,271.01,Sí,Sí,2.4,
106,2025-02-10,08:08,Zaragoza,41.68581,-0.71967,Motor,Turismo,Proveedor B,18.3,43.1,Grúa,151.29,Sí,No,2.9,
107,2024-10-27,08:21,Málaga,36.64204,-4.37105,Accidente,Furgoneta,Proveedor C,34.7,60.8,Grúa,266.04,Sí,Sí,2.1,
108,2025-03-26,15:29,Barcelona,41.48445,2.17994,Neumático,SUV,Proveedor A,28.9,42.2,Grúa,89.48,Sí,No,3.5,
109,2025-01-26,11:21,Zaragoza,41.5019,-0.84846,Batería,SUV,Proveedor A,23.0,34.0,Taxi,21.07,Sí,No,4.6,
110,2025-02-26,09:17,Bilbao,43.22243,-2.95391,Neumático,Furgoneta,Proveedor B,18.8,32.1,N/A Reparado in-situ,20.1,Sí,No,5.0,
111,2025-02-09,07:26,Valencia,39.41787,-0.33392,Combustible,Turismo,Proveedor D,28.9,46.5,Grúa,72.44,Sí,Sí,4.6,
112,2024-09-24,18:52,Oviedo,43.36582,-5.86786,Batería,Turismo,Proveedor B,16.9,40.2,Taxi,31.29,Sí,No,4.5,
113,2025-01-28,10:18,Madrid,40.49178,-3.58209,Batería,Turismo,Proveedor B,24.5,46.3,Taxi,28.18,Sí,Sí,5.0,
114,2025-05-17,12:39,Zaragoza,41.55519,-1.03326,Sistema eléctrico,SUV,Proveedor A,23.0,61.8,Taxi,39.69,Sí,Sí,4.4,
115,2024-09-13,12:36,Valencia,39.54472,-0.4158,Neumático,Furgoneta,Proveedor A,15.7,20.3,Retorno Domicilio,23.26,Sí,No,5.0,
116,2025-03-31,23:36,Barcelona,41.48086,2.09957,Caja de cambios,Turismo,Proveedor A,0.0,81.5,Grúa,104.78,Sí,Sí,2.3,
117,2025-04-19,08:40,Zaragoza,41.69586,-0.84841,Neumático,Moto,Proveedor B,20.9,28.2,N/A Reparado in-situ,19.17,Sí,No,5.0,
118,2025-05-04,07:07,Sevilla,37.35987,-5.96973,Sistema eléctrico,SUV,Proveedor B,18.3,38.1,Retorno Domicilio,48.55,Sí,No,4.7,
119,2025-01-29,22:04,Valencia,39.54578,-0.37351,Neumático,Turismo,Proveedor B,7.2,12.3,N/A Reparado in-situ,11.56,Sí,No,5.0,
120,2025-01-13,13:24,Málaga,36.65882,-4.45104,Caja de cambios,SUV,Proveedor A,9.4,29.2,Grúa,124.21,Sí,No,4.6,
121,2025-08-12,13:01,Valencia,39.38632,-0.53361,Neumático,SUV,Proveedor C,23.4,43.2,Grúa,81.0,Sí,No,4.1,
122,2025-01-01,23:21,Madrid,40.44099,-3.83654,Motor,Furgoneta,Proveedor C,14.8,45.5,Grúa,143.55,Sí,Sí,4.2,
123,2025-01-26,18:20,Málaga,36.62561,-4.42458,Caja de cambios,SUV,Proveedor B,29.2,40.8,Grúa,186.6,Sí,No,3.6,
124,2024-10-13,18:21,Oviedo,43.34518,-5.91744,Neumático,SUV,Proveedor B,23.7,23.9,N/A Reparado in-situ,12.13,Sí,No,5.0,
125,2025-08-27,07:42,Madrid,40.48296,-3.63998,Motor,SUV,Proveedor C,33.4,70.6,Grúa,229.98,Sí,Sí,2.1,
126,2024-09-19,16:15,Barcelona,41.26535,2.26961,Batería,Turismo,Proveedor D,35.3,28.5,Grúa,105.57,Sí,No,5.0,
127,2024-10-26,18:19,Málaga,36.64191,-4.39053,Neumático,Moto,Proveedor B,12.6,39.3,Retorno Domicilio,48.5,Sí,No,4.4,
128,2025-01-29,18:11,Zaragoza,41.76988,-0.83864,Combustible,SUV,Proveedor C,0.0,42.4,Grúa,27.0,Sí,No,4.6,
129,2025-07-09,18:32,Sevilla,37.40037,-6.12598,Neumático,SUV,Proveedor C,15.7,32.6,Taxi,12.67,Sí,No,5.0,
130,2025-08-30,15:34,Madrid,40.48881,-3.64155,Neumático,Moto,Proveedor C,23.1,27.2,Retorno Domicilio,38.27,Sí,No,5.0,
131,2025-02-28,19:59,Sevilla,37.38378,-5.96488,Batería,Turismo,Proveedor D,14.8,36.0,Taxi,17.76,Sí,No,4.5,
132,2024-12-14,18:05,Barcelona,41.37864,2.12028,Batería,Turismo,Proveedor A,19.0,34.2,Taxi,32.37,Sí,No,5.0,
133,2025-01-19,10:57,Barcelona,41.425,2.32178,Caja de cambios,Turismo,Proveedor C,12.4,30.3,Grúa,147.12,Sí,No,4.9,
134,2025-01-29,07:27,Oviedo,43.41143,-5.6848,Combustible,Turismo,Proveedor C,9.7,35.8,Retorno Domicilio,17.8,Sí,No,5.0,
135,2025-08-09,20:39,Barcelona,41.30948,2.20536,Batería,Turismo,Proveedor D,17.9,49.6,N/A Reparado in-situ,33.37,Sí,Sí,4.5,
136,2025-05-27,14:39,Valencia,39.55297,-0.33587,Caja de cambios,SUV,Proveedor A,17.4,32.3,Grúa,153.03,Sí,No,5.0,
137,2025-02-24,16:18,Valencia,39.47379,-0.29975,Neumático,Turismo,Proveedor A,15.4,23.7,Taxi,31.67,Sí,No,4.6,
138,2025-07-12,11:11,Oviedo,43.44218,-5.89963,Batería,SUV,Proveedor B,43.4,31.8,Grúa,123.65,Sí,No,3.8,
139,2025-05-03,14:11,Valencia,39.42973,-0.3316,Combustible,Turismo,Proveedor D,7.4,27.9,Taxi,9.36,Sí,No,5.0,
140,2025-01-10,08:27,Zaragoza,41.56886,-0.92948,Sistema eléctrico,Moto,Proveedor B,7.9,57.8,N/A Reparado in-situ,18.36,Sí,Sí,3.1,
141,2025-06-03,06:20,Bilbao,43.22387,-2.91122,Neumático,Furgoneta,Proveedor C,22.5,19.4,Retorno Domicilio,45.12,Sí,No,5.0,
142,2025-05-05,20:38,Sevilla,37.50574,-6.02575,Batería,SUV,Proveedor D,26.7,26.9,Grúa,85.42,Sí,No,4.6,
143,2024-10-08,14:34,Sevilla,37.38128,-5.87156,Batería,Moto,Proveedor C,14.2,18.8,Taxi,17.41,Sí,No,5.0,
144,2025-06-07,13:23,Zaragoza,41.82476,-0.84654,Batería,Furgoneta,Proveedor A,23.4,36.9,N/A Reparado in-situ,27.93,Sí,No,5.0,
145,2024-12-28,11:52,Bilbao,43.29727,-2.86307,Neumático,Turismo,Proveedor A,17.8,29.8,Retorno Domicilio,26.72,Sí,No,4.6,
146,2024-12-18,14:55,Málaga,36.79932,-4.38131,Batería,Turismo,Proveedor A,18.7,40.5,Grúa,80.58,Sí,No,4.9,
147,2025-04-03,06:07,Oviedo,43.45964,-5.70943,Neumático,Turismo,Proveedor A,32.7,27.8,Grúa,82.78,Sí,No,5.0,
148,2025-02-03,09:54,Oviedo,43.31209,-5.83383,Neumático,Turismo,Proveedor B,39.7,29.7,Grúa,105.37,Sí,No,4.8,
149,2025-01-30,23:16,Barcelona,41.58616,2.11236,Batería,SUV,Proveedor D,16.1,15.0,Retorno Domicilio,35.35,Sí,No,5.0,
150,2025-03-07,11:48,Sevilla,37.32677,-6.00005,Batería,Turismo,Proveedor A,14.9,22.9,Retorno Domicilio,18.93,Sí,No,5.0,
151,2024-10-10,22:23,Sevilla,37.29454,-5.91766,Neumático,Moto,Proveedor B,17.4,26.0,Taxi,35.39,Sí,No,4.8,
152,2025-04-27,06:44,Barcelona,41.43443,2.25545,Combustible,Furgoneta,Proveedor C,26.1,37.0,Grúa,73.37,Sí,No,4.8,
153,2025-01-24,20:27,Málaga,36.72575,-4.21765,Neumático,Furgoneta,Proveedor B,29.3,22.1,Grúa,94.31,Sí,No,5.0,
154,2024-10-20,14:56,Madrid,40.34992,-3.71203,Batería,Turismo,Proveedor B,20.1,49.7,N/A Reparado in-situ,25.15,Sí,Sí,4.9,
155,2025-08-22,22:30,Sevilla,37.27632,-5.9473,Neumático,Moto,Proveedor A,28.5,28.8,Grúa,82.17,Sí,No,4.3,
156,2025-06-14,08:02,Sevilla,37.36884,-6.08166,Sistema eléctrico,Furgoneta,Proveedor B,25.9,26.1,Grúa,130.56,Sí,No,4.9,
157,2025-03-14,10:55,Madrid,40.51457,-3.69491,Combustible,Furgoneta,Proveedor A,0.0,33.2,Grúa,47.69,Sí,No,4.6,
158,2025-03-22,11:00,Barcelona,41.38415,2.07431,Batería,Turismo,Proveedor D,6.9,34.2,Grúa,51.31,Sí,No,4.0,
159,2024-12-30,10:41,Madrid,40.41534,-3.67202,Neumático,Turismo,Proveedor B,18.1,35.0,Grúa,63.72,Sí,No,4.8,
160,2025-02-08,18:21,Sevilla,37.28977,-5.9712,Motor,Moto,Proveedor B,23.4,67.6,Grúa,160.68,Sí,Sí,3.1,
161,2025-06-06,08:12,Barcelona,41.26544,2.18787,Accidente,Turismo,Proveedor B,29.0,99.2,Grúa,264.6,Sí,Sí,1.0,
162,2024-11-02,07:10,Madrid,40.4183,-3.6515,Motor,Turismo,Proveedor A,21.3,82.7,Grúa,172.38,No,Sí,2.1,
163,2024-12-16,17:51,Málaga,36.81682,-4.44835,Sistema eléctrico,SUV,Proveedor B,8.9,27.5,Taxi,13.34,Sí,No,5.0,
164,2025-04-26,09:06,Barcelona,41.43987,2.18418,Caja de cambios,Turismo,Proveedor A,16.1,66.3,Grúa,164.59,Sí,Sí,3.3,
165,2025-03-26,23:31,Sevilla,37.50485,-5.97322,Caja de cambios,Turismo,Proveedor D,40.4,51.6,Grúa,221.57,Sí,Sí,3.3,
166,2025-02-09,23:07,Zaragoza,41.631,-0.9589,Caja de cambios,Turismo,Proveedor A,16.8,35.9,Grúa,145.76,Sí,No,4.0,
167,2025-06-16,19:13,Oviedo,43.362,-5.91477,Neumático,Turismo,Proveedor A,10.1,34.0,N/A Reparado in-situ,12.83,Sí,No,5.0,
168,2025-04-21,21:37,Sevilla,37.36794,-6.14481,Batería,Turismo,Proveedor B,8.0,22.8,N/A Reparado in-situ,12.99,Sí,No,5.0,
169,2025-07-17,22:40,Valencia,39.48744,-0.27316,Batería,Turismo,Proveedor A,32.8,25.0,Grúa,109.03,Sí,No,4.8,
170,2025-01-25,23:13,Oviedo,43.4064,-5.78442,Neumático,Turismo,Proveedor A,23.2,12.8,Grúa,72.52,Sí,No,5.0,
171,2025-08-26,17:48,Sevilla,37.28143,-6.05004,Motor,Turismo,Proveedor B,14.7,47.0,Grúa,133.89,Sí,Sí,4.2,
172,2025-02-08,17:03,Oviedo,43.47572,-5.7753,Combustible,Moto,Proveedor B,15.7,35.6,Taxi,18.09,Sí,No,5.0,
173,2025-02-21,16:12,Bilbao,43.25716,-2.84606,Batería,Turismo,Proveedor A,22.0,33.2,Retorno Domicilio,43.82,Sí,No,4.4,
174,2025-01-23,19:34,Sevilla,37.44274,-6.07025,Motor,Turismo,Proveedor C,30.4,46.8,Grúa,189.56,Sí,Sí,4.2,
175,2025-02-19,18:33,Barcelona,41.40579,2.28699,Neumático,Furgoneta,Proveedor A,19.4,36.7,Retorno Domicilio,38.34,Sí,No,4.6,
176,2025-06-29,15:45,Barcelona,41.46052,2.09272,Motor,Furgoneta,Proveedor C,19.8,49.1,Grúa,172.84,Sí,Sí,3.9,
177,2025-04-15,11:00,Bilbao,43.27115,-2.81108,Motor,SUV,Proveedor C,22.4,45.8,Grúa,182.3,Sí,Sí,3.4,
178,2025-05-01,17:15,Málaga,36.74627,-4.40941,Neumático,SUV,Proveedor B,21.6,38.7,N/A Reparado in-situ,4.92,Sí,No,5.0,
179,2025-04-13,18:14,Bilbao,43.32963,-2.91486,Batería,SUV,Proveedor B,39.3,46.8,Grúa,117.72,Sí,Sí,4.1,
